                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.98086,                 0.7226,                 1.3573,                0.63807,                0.46022,                0.44607,                0.21558,                 1.9876,                  1.596,                 2.4427,             4.1965e-05,             4.1965e-05,             4.1965e-05
                     92,                0.94527,                0.68426,                 1.3207,                0.60764,                0.45135,                0.43676,                0.21478,                 1.9711,                 1.5902,                 2.4237,             3.8153e-05,             3.8153e-05,             3.8153e-05
                     93,                0.93318,                0.67132,                 1.3139,                0.65121,                0.44675,                0.44694,                0.22013,                 1.9834,                 1.5927,                 2.4573,             3.4342e-05,             3.4342e-05,             3.4342e-05
                     94,                0.92338,                0.66479,                 1.3075,                0.64081,                0.43139,                0.43949,                0.21419,                 1.9827,                 1.5803,                 2.4501,              3.053e-05,              3.053e-05,              3.053e-05
                     95,                0.91484,                0.65594,                 1.2998,                0.55145,                0.47034,                0.44815,                0.22061,                  1.983,                 1.5787,                 2.4529,             2.6719e-05,             2.6719e-05,             2.6719e-05
                     96,                0.91135,                0.65464,                 1.3025,                0.55183,                0.47555,                0.44692,                0.22224,                 1.9949,                 1.5828,                 2.4661,             2.2908e-05,             2.2908e-05,             2.2908e-05
                     97,                0.89547,                0.63977,                 1.2881,                0.64744,                0.43122,                0.44973,                0.22466,                 1.9905,                 1.5802,                 2.4619,             1.9096e-05,             1.9096e-05,             1.9096e-05
                     98,                0.89016,                0.63512,                 1.2814,                0.54188,                0.46927,                0.45093,                0.22332,                 1.9963,                 1.5927,                 2.4693,             1.5285e-05,             1.5285e-05,             1.5285e-05
                     99,                0.88936,                0.63604,                 1.2802,                0.64808,                0.43239,                0.45312,                0.22465,                 1.9944,                 1.5773,                 2.4745,             1.1473e-05,             1.1473e-05,             1.1473e-05
                    100,                0.88783,                0.63811,                 1.2849,                0.63606,                0.43755,                0.45172,                0.22272,                 2.0045,                 1.5824,                  2.485,             7.6615e-06,             7.6615e-06,             7.6615e-06
